,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
19098,42019000,239000,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Antwerp,2100,51.2187982,4.4807922,1991,92,,,2,USA_INSTALLED,Yes,0,0,1,,1,33,0,0,GOOD,Yes,489,E,ELECTRIC,1,1043,,left_only
19123,11791000,239000,APARTMENT,SERVICE_FLAT,Flanders,Antwerp,Antwerp,2018,51.2041256,4.4096794,,62,,,1,MISSING,MISSING,0,0,0,0,0,0,0,1,AS_NEW,Yes,67,A,MISSING,0,,,left_only
19125,33334000,239000,APARTMENT,SERVICE_FLAT,Flanders,Flemish Brabant,Leuven,3300,50.8118216,4.9287135,2014,40,,,1,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,115,B,MISSING,0,1172,,left_only
19139,59662000,239000,HOUSE,BUNGALOW,Flanders,West Flanders,Diksmuide,8650,50.9811887,2.9431102,1968,112,700,,2,INSTALLED,Yes,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,No,954,F,GAS,1,478,,left_only
19158,61648000,239000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2650,51.1557688,4.4367125,1899,131,0,3,3,MISSING,MISSING,0,0,0,0,1,104,0,0,TO_RENOVATE,No,1141,F,MISSING,0,327,,left_only
19203,31799000,239000,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9600,50.7454745,3.5930671,1935,230,210,2,4,SEMI_EQUIPPED,Yes,0,0,1,15,1,75,0,0,GOOD,Yes,360,D,FUELOIL,1,803,,left_only
19206,20999000,239000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9100,51.166929,4.1294632,1932,141,101,,3,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,191,B,MISSING,0,354,,left_only
19208,56665000,239000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.1265694,4.2049424,,124,110,2,2,INSTALLED,Yes,0,1,0,0,1,43,0,0,GOOD,Yes,459,E,GAS,1,233,,left_only
19211,50363000,239000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9150,51.1667455,4.3105178,,136,140,3,3,INSTALLED,Yes,0,0,0,0,0,0,0,1,GOOD,Yes,765,F,MISSING,1,376,,left_only
19271,11974000,239000,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8620,51.1314526,2.7509033,2016,,0,,1,MISSING,MISSING,0,0,1,,0,0,0,1,MISSING,MISSING,0,MISSING,MISSING,0,,,left_only
